lottery_type,period_id,front_1,front_2,front_3,front_4,front_5,back_1,back_2
dlt,9050,5,15,28,32,33,8,9
dlt,9051,3,11,22,26,29,5,12
dlt,9052,23,24,30,34,35,1,3
dlt,9053,5,9,24,31,33,5,6
dlt,9054,2,12,19,29,30,7,12
dlt,9055,5,8,14,23,24,5,6
dlt,9056,4,13,17,32,35,3,6
dlt,9057,6,15,22,27,30,2,9
dlt,9058,8,10,14,27,32,2,7
dlt,9059,2,13,14,29,33,4,11
dlt,9060,18,28,29,30,31,4,8
dlt,9061,2,10,21,26,34,2,10
dlt,9062,4,22,23,29,31,5,11
dlt,9063,5,6,18,21,22,1,7
dlt,9064,6,10,11,17,34,11,12
dlt,9065,1,12,24,27,32,2,11
dlt,9066,1,8,19,24,31,6,12
dlt,9067,3,6,25,28,32,2,5
dlt,9068,2,12,15,20,28,1,12
dlt,9069,14,16,27,30,33,8,12
dlt,9070,10,21,24,30,31,3,10
dlt,9071,4,20,29,30,33,2,11
dlt,9072,23,26,29,32,33,5,10
dlt,9073,1,10,19,21,30,1,4
dlt,9074,15,17,19,23,32,1,11
dlt,9075,1,7,11,32,33,9,11
dlt,9076,3,9,11,18,24,4,5
dlt,9077,7,20,28,32,34,6,8
dlt,9078,11,23,26,31,34,5,11
dlt,9079,1,2,7,13,34,4,10
dlt,9080,7,16,19,29,35,2,11
dlt,9081,2,15,20,25,33,3,6
dlt,9082,5,11,26,29,32,8,11
dlt,9083,2,5,28,34,35,1,7
dlt,9084,5,9,19,26,35,2,10
dlt,9085,6,13,27,33,34,9,12
dlt,9086,1,2,7,26,29,10,12
dlt,9087,10,24,28,30,33,1,10
dlt,9088,13,16,27,32,34,3,9
dlt,9089,3,6,11,19,27,2,7
dlt,9090,18,25,30,33,34,4,10
dlt,9091,1,5,17,32,34,3,7
dlt,9092,10,21,22,27,29,8,12
dlt,9093,7,9,22,30,33,9,11
dlt,9094,1,5,21,23,29,5,12
dlt,9095,8,18,24,30,33,1,6
dlt,9096,7,12,28,32,33,1,3
dlt,9097,6,13,14,22,25,1,4
dlt,9098,11,17,19,25,26,2,10
dlt,9099,3,9,21,23,33,6,10
dlt,9100,16,20,25,29,33,1,8
dlt,9101,2,10,14,22,26,4,9
dlt,9102,11,13,29,32,35,10,12
dlt,9103,16,20,28,32,33,1,2
dlt,9104,15,25,29,32,33,10,11
dlt,9105,1,25,26,34,35,6,11
dlt,9106,11,21,22,25,34,6,9
dlt,9107,11,12,33,34,35,1,10
dlt,9108,1,9,14,29,30,7,10
dlt,9109,2,11,13,26,35,6,10
dlt,9110,22,28,30,31,34,7,9
dlt,9111,4,11,13,19,35,10,12
dlt,9112,2,8,12,34,35,4,5
dlt,9113,3,4,10,18,27,6,8
dlt,9114,2,8,25,29,33,3,7
dlt,9115,1,2,6,8,26,5,12
dlt,9116,12,15,23,30,33,9,12
dlt,9117,7,21,29,31,33,9,10
dlt,9118,10,17,18,21,34,5,11
dlt,9119,3,12,22,23,28,4,12
dlt,9120,11,23,27,28,32,2,5
dlt,9121,4,5,8,11,22,2,10
dlt,9122,1,2,11,31,33,5,6
dlt,9123,10,21,28,29,32,6,10
dlt,9124,1,3,14,32,35,7,11
dlt,9125,8,20,23,29,31,2,11
dlt,9126,14,23,27,28,33,8,12
dlt,9127,5,9,27,32,34,5,8
dlt,9128,6,21,28,32,34,4,7
dlt,9129,2,10,18,32,33,3,8
dlt,9130,9,14,25,32,34,2,8
dlt,9131,2,3,8,33,34,3,11
dlt,9132,2,10,12,15,28,4,7
dlt,9133,1,8,24,27,34,10,11
dlt,9134,2,16,19,28,33,7,11
dlt,9135,6,8,15,20,32,5,6
dlt,9136,7,13,23,24,29,6,10
dlt,9137,12,28,29,30,34,1,9
dlt,9138,3,4,14,28,32,9,10
dlt,9139,14,16,20,22,32,5,9
dlt,9140,7,8,19,26,30,1,12
dlt,9141,13,14,21,30,33,2,8
dlt,9142,5,6,13,24,31,3,11
dlt,9143,1,9,10,11,22,1,12
dlt,9144,18,26,32,33,34,4,6
dlt,9145,5,11,14,22,35,3,10
dlt,9146,11,17,23,24,25,3,6
dlt,9147,6,12,18,22,29,5,8
dlt,9148,2,4,13,14,33,1,9
dlt,9149,1,3,10,12,20,2,7
dlt,9150,4,11,18,25,34,5,7
dlt,9151,3,8,14,30,31,4,9
dlt,9152,1,23,29,30,32,7,12
dlt,9153,21,22,30,32,34,3,7
dlt,10001,2,6,7,12,27,2,8
dlt,10002,4,23,25,26,30,7,10
dlt,10003,5,14,23,27,30,2,8
dlt,10004,3,6,21,24,34,4,6
dlt,10005,4,17,19,22,30,2,3
dlt,10006,3,13,19,30,34,2,5
